id,name,product_type,start_time_utc,end_time_utc,origin_date,publication_date,online,s3_path
d39d3c93-7871-4c2b-a2a2-7ab2a4705e49,S5P_NRTI_L2__HCHO___20260415T060950_20260415T061450_44064_03_020800_20260415T065148.nc,L2__HCHO__,2026-04-15T06:09:44.000000Z,2026-04-15T06:14:56.000000Z,2026-04-15T06:54:26.607000Z,2026-04-15T06:56:10.544119Z,True,/eodata/Sentinel-5P/TROPOMI/L2__HCHO__/2026/04/15/S5P_NRTI_L2__HCHO___20260415T060950_20260415T061450_44064_03_020800_20260415T065148.nc
b5d97c3f-d03c-482f-beb6-6cd4a4a5cb21,S5P_OFFL_L2__HCHO___20260415T052413_20260415T070543_44064_03_020800_20260417T034519.nc,L2__HCHO__,2026-04-15T05:45:48.000000Z,2026-04-15T06:44:11.000000Z,2026-04-17T04:25:38.543000Z,2026-04-17T04:28:04.617865Z,True,/eodata/Sentinel-5P/TROPOMI/L2__HCHO__/2026/04/15/S5P_OFFL_L2__HCHO___20260415T052413_20260415T070543_44064_03_020800_20260417T034519.nc
7939adc1-5cfd-4afa-8203-f5349487db5c,S5P_NRTI_L2__CO_____20260417T071950_20260417T072450_44093_03_020901_20260417T074937.nc,L2__CO____,2026-04-17T07:19:44.000000Z,2026-04-17T07:24:57.000000Z,2026-04-17T07:58:57.435000Z,2026-04-17T08:01:20.498341Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CO____/2026/04/17/S5P_NRTI_L2__CO_____20260417T071950_20260417T072450_44093_03_020901_20260417T074937.nc
cb363644-8067-4610-b33a-c01ee6c25c1b,S5P_NRTI_L2__CO_____20260417T071450_20260417T071950_44093_03_020901_20260417T074917.nc,L2__CO____,2026-04-17T07:14:45.000000Z,2026-04-17T07:19:56.000000Z,2026-04-17T07:52:58.650000Z,2026-04-17T08:02:13.729540Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CO____/2026/04/17/S5P_NRTI_L2__CO_____20260417T071450_20260417T071950_44093_03_020901_20260417T074917.nc
0bc8e376-e957-4bca-8e80-3fbf0b9a4820,S5P_NRTI_L2__CO_____20260417T053950_20260417T054450_44092_03_020901_20260417T060925.nc,L2__CO____,2026-04-17T05:39:44.000000Z,2026-04-17T05:44:56.000000Z,2026-04-17T06:15:57.536000Z,2026-04-17T06:18:00.229482Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CO____/2026/04/17/S5P_NRTI_L2__CO_____20260417T053950_20260417T054450_44092_03_020901_20260417T060925.nc
bbfe88ea-961a-44bc-971f-4e106c3f9493,S5P_NRTI_L2__CO_____20260417T053450_20260417T053950_44092_03_020901_20260417T060903.nc,L2__CO____,2026-04-17T05:34:45.000000Z,2026-04-17T05:39:56.000000Z,2026-04-17T06:13:27.024000Z,2026-04-17T06:15:06.675147Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CO____/2026/04/17/S5P_NRTI_L2__CO_____20260417T053450_20260417T053950_44092_03_020901_20260417T060903.nc
8496ccef-44de-4b57-9bab-083a6b616e68,S5P_NRTI_L2__CO_____20260416T055450_20260416T055950_44078_03_020901_20260416T062657.nc,L2__CO____,2026-04-16T05:54:45.000000Z,2026-04-16T05:59:56.000000Z,2026-04-16T06:32:57.091000Z,2026-04-16T06:34:42.911768Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CO____/2026/04/16/S5P_NRTI_L2__CO_____20260416T055450_20260416T055950_44078_03_020901_20260416T062657.nc
2f3cd878-ecbb-4f18-b3af-3130ffc3f2a5,S5P_NRTI_L2__CO_____20260416T054950_20260416T055450_44078_03_020901_20260416T062641.nc,L2__CO____,2026-04-16T05:49:44.000000Z,2026-04-16T05:54:56.000000Z,2026-04-16T06:30:26.886000Z,2026-04-16T06:32:19.487123Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CO____/2026/04/16/S5P_NRTI_L2__CO_____20260416T054950_20260416T055450_44078_03_020901_20260416T062641.nc
9b525062-1920-42ef-8bfb-dacd56102318,S5P_NRTI_L2__CO_____20260415T061450_20260415T061950_44064_03_020901_20260415T064531.nc,L2__CO____,2026-04-15T06:14:45.000000Z,2026-04-15T06:19:56.000000Z,2026-04-15T06:51:26.462000Z,2026-04-15T06:53:13.127590Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CO____/2026/04/15/S5P_NRTI_L2__CO_____20260415T061450_20260415T061950_44064_03_020901_20260415T064531.nc
03970c7f-feb5-4501-91e0-5681b49f2cb7,S5P_NRTI_L2__CO_____20260415T060950_20260415T061450_44064_03_020901_20260415T064615.nc,L2__CO____,2026-04-15T06:09:44.000000Z,2026-04-15T06:14:56.000000Z,2026-04-15T06:50:26.477000Z,2026-04-15T06:52:08.260399Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CO____/2026/04/15/S5P_NRTI_L2__CO_____20260415T060950_20260415T061450_44064_03_020901_20260415T064615.nc
f63e8768-65a5-45fc-9ba3-81c086b5ee96,S5P_OFFL_L2__CO_____20260415T052413_20260415T070543_44064_03_020901_20260416T191820.nc,L2__CO____,2026-04-15T05:45:48.000000Z,2026-04-15T06:44:11.000000Z,2026-04-16T21:35:00.929000Z,2026-04-16T21:37:39.059756Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CO____/2026/04/15/S5P_OFFL_L2__CO_____20260415T052413_20260415T070543_44064_03_020901_20260416T191820.nc
f1fea4af-c224-4852-90e1-25f66db1806b,S5P_NRTI_L2__CH4____20260417T071950_20260417T072450_44093_03_020901_20260417T075852.nc,L2__CH4___,2026-04-17T07:19:44.000000Z,2026-04-17T07:24:57.000000Z,2026-04-17T08:36:56.987000Z,2026-04-17T08:38:24.237636Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CH4___/2026/04/17/S5P_NRTI_L2__CH4____20260417T071950_20260417T072450_44093_03_020901_20260417T075852.nc
0b6f5ce3-bfd2-427c-8525-060b346e8b6b,S5P_NRTI_L2__CH4____20260417T071450_20260417T071950_44093_03_020901_20260417T075429.nc,L2__CH4___,2026-04-17T07:14:45.000000Z,2026-04-17T07:19:56.000000Z,2026-04-17T08:16:56.965000Z,2026-04-17T08:18:31.962336Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CH4___/2026/04/17/S5P_NRTI_L2__CH4____20260417T071450_20260417T071950_44093_03_020901_20260417T075429.nc
b54c946b-8d78-4912-8053-03c2b867500f,S5P_NRTI_L2__CH4____20260417T053950_20260417T054450_44092_03_020901_20260417T061533.nc,L2__CH4___,2026-04-17T05:39:44.000000Z,2026-04-17T05:44:56.000000Z,2026-04-17T07:04:56.987000Z,2026-04-17T07:06:37.933242Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CH4___/2026/04/17/S5P_NRTI_L2__CH4____20260417T053950_20260417T054450_44092_03_020901_20260417T061533.nc
5bc4acaa-8c53-456d-83ac-dee3daf555ae,S5P_NRTI_L2__CH4____20260417T053450_20260417T053950_44092_03_020901_20260417T061309.nc,L2__CH4___,2026-04-17T05:34:45.000000Z,2026-04-17T05:39:56.000000Z,2026-04-17T06:47:26.895000Z,2026-04-17T06:49:23.797532Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CH4___/2026/04/17/S5P_NRTI_L2__CH4____20260417T053450_20260417T053950_44092_03_020901_20260417T061309.nc
ba490614-dd1a-4b38-9857-e64c2728ebf1,S5P_NRTI_L2__CH4____20260416T055450_20260416T055950_44078_03_020901_20260416T063243.nc,L2__CH4___,2026-04-16T05:54:45.000000Z,2026-04-16T05:59:56.000000Z,2026-04-16T06:58:26.567000Z,2026-04-16T07:00:49.636492Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CH4___/2026/04/16/S5P_NRTI_L2__CH4____20260416T055450_20260416T055950_44078_03_020901_20260416T063243.nc
9500f3c6-942c-4477-a2e5-e69de1bc762f,S5P_NRTI_L2__CH4____20260416T054950_20260416T055450_44078_03_020901_20260416T063031.nc,L2__CH4___,2026-04-16T05:49:44.000000Z,2026-04-16T05:54:56.000000Z,2026-04-16T06:35:56.604000Z,2026-04-16T06:37:31.150016Z,True,/eodata/Sentinel-5P/TROPOMI/L2__CH4___/2026/04/16/S5P_NRTI_L2__CH4____20260416T054950_20260416T055450_44078_03_020901_20260416T063031.nc
